MONTH,DAY_OF_WEEK,FL_DATE,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEP_DELAY,ARR_DELAY,DISTANCE
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,12191,1219102,31453,-1.00,-4.00,883.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,12191,1219102,31453,3.00,-9.00,883.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,12264,1226402,30852,22.00,0.00,1452.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,12278,1227805,30928,-6.00,-24.00,420.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,12339,1233904,32337,-8.00,-19.00,977.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,12339,1233904,32337,-4.00,-9.00,977.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,12451,1245102,31136,16.00,2.00,1447.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,12889,1288903,32211,-6.00,-15.00,628.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,12889,1288903,32211,-2.00,-8.00,628.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,12889,1288903,32211,-5.00,-21.00,628.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,12889,1288903,32211,13.00,6.00,628.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,12892,1289208,32575,5.00,-11.00,862.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,12892,1289208,32575,43.00,35.00,862.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,12892,1289208,32575,-1.00,-17.00,862.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,12954,1295407,32575,-7.00,-6.00,854.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,12954,1295407,32575,-5.00,-16.00,854.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,13198,1319801,33198,5.00,0.00,533.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,13198,1319801,33198,7.00,-10.00,533.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,13204,1320402,31454,0.00,-16.00,1546.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,13204,1320402,31454,1.00,-17.00,1546.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,13204,1320402,31454,4.00,-20.00,1546.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,13232,1323202,30977,-2.00,-5.00,895.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,13232,1323202,30977,-3.00,-19.00,895.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,13232,1323202,30977,-5.00,-29.00,895.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,13232,1323202,30977,-7.00,-19.00,895.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,13232,1323202,30977,-2.00,-23.00,895.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,13244,1324402,33244,-5.00,-21.00,872.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,13342,1334207,33342,-2.00,-16.00,896.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,13342,1334207,33342,-7.00,-21.00,896.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,13487,1348702,31650,13.00,-8.00,680.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,13487,1348702,31650,-2.00,-17.00,680.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,13495,1349505,33495,-7.00,-19.00,1062.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,13502,1350202,33502,-3.00,-23.00,196.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,13502,1350202,33502,-10.00,-36.00,196.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,13502,1350202,33502,-8.00,-10.00,196.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,13796,1379608,32457,-2.00,-5.00,957.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,13796,1379608,32457,-7.00,-19.00,957.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,13796,1379608,32457,-7.00,-28.00,957.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,13851,1385103,33851,21.00,15.00,495.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,13851,1385103,33851,24.00,10.00,495.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,13871,1387102,33316,6.00,1.00,472.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,13871,1387102,33316,-8.00,-23.00,472.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,13891,1389101,32575,-5.00,-18.00,819.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,14057,1405702,34057,-7.00,-19.00,991.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,14057,1405702,34057,-7.00,-33.00,991.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,14100,1410005,34100,10.00,-19.00,1558.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,14107,1410702,30466,-9.00,-3.00,602.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,14107,1410702,30466,0.00,-3.00,602.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,14107,1410702,30466,-5.00,4.00,602.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,14107,1410702,30466,-4.00,-7.00,602.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,14107,1410702,30466,1.00,-9.00,602.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,14107,1410702,30466,-6.00,-9.00,602.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,14107,1410702,30466,-6.00,-8.00,602.00
